about.tiktok|TikTok
about.instagram|Instagram
activities.crossfit|CrossFit
profile.selectBadgeSubtitle|Choose the badge you want to highlight on your public profile.
coach.title|Fitz Coach
onboarding.foodItems.tempeh|Tempeh
onboarding.foodItems.tilapia|Tilapia
onboarding.foodItems.skyr|Skyr
onboarding.foodItems.edamame|Edamame
onboarding.foodItems.bulgur|Bulgur
onboarding.foodItems.granola|Granola
onboarding.foodItems.farro|Farro
onboarding.foodItems.tapioca|Tapioca
onboarding.foodItems.ghee|Ghee
onboarding.foodItems.tahini|Tahini
onboarding.foodItems.papaya|Papaya
onboarding.foodItems.agave|Agave
onboarding.foodItems.tamari|Tamari
onboarding.foodItems.miso|Miso
onboarding.foodItems.mozzarella|Mozzarella
onboarding.foodItems.cheddar|Cheddar
onboarding.foodItems.matcha|Matcha
onboarding.foodItems.kombucha|Kombucha
equipment.stationary bike|stationary bike
equipment.stability ball|stability ball
equipment.weighted|weighted
equipment.roller|roller
equipment.sled machine|sled machine
equipment.resistance band|resistance band
equipment.wheel roller|wheel roller
equipment.rope|rope
equipment.medicine ball|medicine ball
equipment.stepmill machine|stepmill machine
equipment.olympic barbell|olympic barbell
equipment.upper body ergometer|upper body ergometer
equipment.trap bar|trap bar
equipment.skierg machine|skierg machine
equipment.elliptical machine|elliptical machine
social.title|FitGo Social
social.you.trophyShowcase|ðŸ† Trophy Showcase
exerciseNames.jack burpee|jack burpee
exerciseNames.Press de Banca|Bench Press
exerciseNames.Aperturas con Mancuernas|Dumbbell Flyes
exerciseNames.Flexiones|Push-ups
exerciseNames.Press Inclinado|Incline Press
exerciseNames.Dominadas|Pull-ups
exerciseNames.Remo con Barra|Barbell Row
exerciseNames.Peso Muerto|Deadlift
exerciseNames.Sentadillas|Squats
exerciseNames.Press Militar|Military Press
exerciseNames.Elevaciones Laterales|Lateral Raises
exerciseNames.Elevaciones Frontales|Front Raises
exerciseNames.Curl de BÃ­ceps con Barra|Barbell Biceps Curl
exerciseNames.ExtensiÃ³n de TrÃ­ceps|Triceps Extension
exerciseNames.Crunches|Crunches
exerciseNames.ElevaciÃ³n de Piernas|Leg Raises
exerciseNames.Russian Twists|Russian Twists
achievements.badges.super_admin.label|Super Admin
achievements.badges.beast_mode.label|Beast Mode
achievements.items.triceratops.title|Triceratops
achievements.items.supernova.title|Supernova
achievements.items.ai_enthusiast.title|AI enthusiast
achievements.items.anniversary.title|Anniversary
achievements.items.anniversary.description|1 year using FitGO. Congratulations!
achievements.items.app_first_launch.description|You opened FitGO for the first time.
achievements.items.biometric_update.title|Body Scanner
achievements.items.biometric_update.description|You updated your weight 5 times.
achievements.items.challenge_5.description|You participated in 5 challenges.
achievements.items.challenge_starter.title|Challenge Starter
achievements.items.challenge_starter.description|You created your first challenge.
achievements.items.challenge_winner.title|Champion
achievements.items.challenge_winner.description|You won a challenge.
achievements.items.community_leader.title|Community Leader
achievements.items.community_leader.description|You reached the global Top 10.
achievements.items.competitive_spirit.title|Competitive Spirit
achievements.items.consistent_challenger.title|Iron Challenger
achievements.items.consistent_challenger.description|You completed a 7-day challenge.
achievements.items.data_guardian.title|Data Guardian
achievements.items.data_guardian.description|You protected the data of all FitGO users.
achievements.items.data_scientist.title|Data Scientist
achievements.items.data_scientist.description|You performed a weekly analysis 3 times.
achievements.items.first_ai_chat.title|First AI Chat
achievements.items.first_ai_chat.description|You had your first conversation with Fitz AI.
achievements.items.first_plan.title|First Plan
achievements.items.first_plan.description|You generated your first meal plan.
achievements.items.friend_maker.title|Connector
achievements.items.language_changed.title|polyglot
achievements.items.motivator.title|Motivator
achievements.items.motivator.description|You gave 10 likes to your friends' posts.
achievements.items.mystery_item.title|???
achievements.items.notifications_enabled.title|Always Connected
achievements.items.perfect_month.title|Perfect Month
achievements.items.planner_pro.description|You generated a nutritional plan.
achievements.items.share_progress.description|You shared your progress with the community.
achievements.items.squad_top.title|Squad MVP
achievements.items.super_admin.title|Super Admin
achievements.items.system_builder.description|You built the entire FitGO system.
achievements.items.team_player.title|Team Player
achievements.items.team_player.description|You joined a Squad.
achievements.items.theme_changer.title|Style Icon
achievements.items.weight_stability.title|Weight Stability
achievements.items.weight_stability.description|You maintained your weight for 30 days.
badges.super_admin.label|Super Admin
badges.macro_expert.label|Macro Expert
badges.macro_expert.description|Perfect macros day.
badges.body_sculptor.label|Body Sculptor
badges.body_sculptor.description|Log body measurements.
badges.photo_pioneer.label|Change Model
badges.photo_pioneer.description|Upload first progress photo.
badges.century_club.label|100 Club
badges.century_club.description|100-day streak.
badges.year_of_fitness.label|Year of Iron
badges.year_of_fitness.description|365-day streak.
badges.half_marathoner.label|Half Marathon
badges.half_marathoner.description|Over 25,000 steps in a day.
badges.weight_transformer.label|Transformer
badges.weight_transformer.description|10kg weight change.
badges.friend_magnet.label|Friend Magnet
badges.friend_magnet.description|Have 5 or more friends.
badges.community_pillar.label|Community Pillar
badges.community_pillar.description|10 community posts.
badges.early_bird.label|Early Bird
badges.early_bird.description|Breakfast before 9 AM.
badges.diet_expert.label|Diet Expert
badges.diet_expert.description|30 days logging meals.
badges.night_owl.label|Night Owl
badges.night_owl.description|Activity between 2 and 4 AM.
badges.zen_master.label|Zen Master
badges.zen_master.description|10 hours of Yoga.
badges.iron_lungs.label|Iron Lungs
badges.iron_lungs.description|Intense swimming session.
badges.mountain_king.label|Mountain King
badges.mountain_king.description|50,000 steps in a week.
badges.spartan.label|Spartan
badges.spartan.description|300-day perfect streak.
badges.data_scientist.label|Data Scientist
badges.data_scientist.description|Exported your data.
badges.ghost.label|Ghost
badges.ghost.description|Active 5 days without posting.
badges.zen_streaker.label|Weekly Yoga
badges.zen_streaker.description|3 yoga sessions in a week.
badges.speed_demon.label|Speed Demon
badges.speed_demon.description|Express meal log.
badges.love_reactor.label|Love Dispenser
badges.love_reactor.description|Gave your first like.
badges.legend_commenter.label|Ice Breaker
badges.legend_commenter.description|Left your first comment.
